ticker,company_name,sector,market_cap,total_debt,equity_volatility,lgd,last_updated,data_source
WMT,Walmart Inc.,Consumer Defensive,887644160000.0,74179000000.0,0.243594,0.35,2026-07-08,yfinance
COST,Costco Wholesale Corporation,Consumer Defensive,420196188160.0,8136000000.0,0.191998,0.35,2026-07-08,yfinance
HD,"The Home Depot, Inc.",Consumer Cyclical,344214634496.0,63157000000.0,0.247755,0.4,2026-07-08,yfinance
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,123860189184.0,42540000000.0,0.26593,0.4,2026-07-08,yfinance
TGT,Target Corporation,Consumer Defensive,57932075008.0,18831000000.0,0.307896,0.35,2026-07-08,yfinance
MCD,McDonald's Corporation,Consumer Cyclical,200511848448.0,54881000000.0,0.17605,0.4,2026-07-08,yfinance
SBUX,Starbucks Corporation,Consumer Cyclical,118084313088.0,24391400000.0,0.284736,0.4,2026-07-08,yfinance
NKE,"NIKE, Inc.",Consumer Cyclical,63989129216.0,11178000000.0,0.360327,0.4,2026-07-08,yfinance
TJX,"The TJX Companies, Inc.",Consumer Cyclical,170245996544.0,14180000000.0,0.194168,0.4,2026-07-08,yfinance
BKNG,Booking Holdings Inc.,Consumer Cyclical,140989136896.0,18943000000.0,0.335267,0.4,2026-07-08,yfinance
EXPE,"Expedia Group, Inc.",Consumer Cyclical,32390359040.0,4706000000.0,0.47824,0.4,2026-07-08,yfinance
YUM,"Yum! Brands, Inc.",Consumer Cyclical,46163800064.0,11954000000.0,0.223,0.4,2026-07-08,yfinance
QSR,Restaurant Brands International Inc.,Consumer Cyclical,33741551616.0,15706000000.0,0.239169,0.4,2026-07-08,yfinance
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,10415622144.0,5135773000.0,0.277511,0.4,2026-07-08,yfinance
DKNG,DraftKings Inc.,Consumer Cyclical,13350827008.0,1917850000.0,0.504258,0.4,2026-07-08,yfinance
LVS,Las Vegas Sands Corp.,Consumer Cyclical,30521075712.0,15724000000.0,0.349917,0.4,2026-07-08,yfinance
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,9999851520.0,12159865000.0,0.340025,0.4,2026-07-08,yfinance
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,6182099968.0,24928000000.0,0.503078,0.4,2026-07-08,yfinance
MGM,MGM Resorts International,Consumer Cyclical,11932901376.0,31336426000.0,0.386159,0.4,2026-07-08,yfinance
KO,The Coca-Cola Company,Consumer Defensive,361623650304.0,43890000000.0,0.172265,0.35,2026-07-08,yfinance
PEP,"PepsiCo, Inc.",Consumer Defensive,198179094528.0,52728000000.0,0.222148,0.35,2026-07-08,yfinance
MDLZ,"Mondelez International, Inc.",Consumer Defensive,77301391360.0,21622000000.0,0.230773,0.35,2026-07-08,yfinance
GIS,"General Mills, Inc.",Consumer Defensive,19800580096.0,13940400000.0,0.258617,0.35,2026-07-08,yfinance
CAG,"Conagra Brands, Inc.",Consumer Defensive,6712473088.0,7332400000.0,0.295281,0.35,2026-07-08,yfinance
SJM,The J. M. Smucker Company,Consumer Defensive,12103169024.0,7089000000.0,0.280878,0.35,2026-07-08,yfinance
HRL,Hormel Foods Corporation,Consumer Defensive,13592779776.0,2856339000.0,0.307815,0.35,2026-07-08,yfinance
TSN,"Tyson Foods, Inc.",Consumer Defensive,20712251392.0,8083000000.0,0.248935,0.35,2026-07-08,yfinance
MKC,"McCormick & Company, Incorporated",Consumer Defensive,14039428096.0,4933500000.0,0.291859,0.35,2026-07-08,yfinance
CLX,The Clorox Company,Consumer Defensive,11778949120.0,4486000000.0,0.290642,0.35,2026-07-08,yfinance
CL,Colgate-Palmolive Company,Consumer Defensive,76041986048.0,7973000000.0,0.219477,0.35,2026-07-08,yfinance
KMB,Kimberly-Clark Corporation,Consumer Defensive,38086836224.0,7084000000.0,0.268753,0.35,2026-07-08,yfinance
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,23445567488.0,2205700000.0,0.224643,0.35,2026-07-08,yfinance
EL,The Estée Lauder Companies Inc.,Consumer Defensive,30549962752.0,9300000000.0,0.480568,0.35,2026-07-08,yfinance
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,19507689472.0,2302443000.0,0.346933,0.4,2026-07-08,yfinance
XOM,ExxonMobil Holdings Corporation,Energy,587297587200.0,47661000000.0,0.247102,0.45,2026-07-08,yfinance
